tick,player_x,player_y,player_z,player_yaw,player_pitch,on_ground,my_vx,my_vy,my_vz,my_hurt,my_health,target_x,target_y,target_z,target_dist,tgt_vx,tgt_vz,tgt_hurt,tgt_health,out_w,out_a,out_s,out_d,out_sprint,out_jump,out_left_click,out_right_click
220833,491134.2421071103,82.0,4117.713689393677,266.361,-0.103,1,0.1425,0.0,-0.1699,0,17.3,491137.3279320988,82.6574074074074,4117.461419753086,3.165,0.0548,-0.012,0,13.5,1,1,0,0,1,0,0,0
220834,491134.38642958016,82.0,4117.743831883244,266.876,2.879,1,0.1443,0.0,0.0301,0,17.3,491137.3227880659,82.43827160493827,4117.463863168724,2.982,-0.0051,0.0024,10,13.5,1,0,0,1,1,0,1,0
220835,491134.48588160373,82.0,4117.778777977973,263.997,7.3,1,0.0995,0.0,0.0349,0,17.3,491137.31764403294,82.21913580246914,4117.4663065843615,2.857,-0.0051,0.0024,9,12.0,1,0,0,1,0,0,0,1
220836,491134.64130333386,82.0,4117.879556473837,263.174,6.991,1,0.1554,0.0,0.1008,0,17.3,491137.5034293553,82.26067386831276,4117.456704389574,2.905,0.1858,-0.0096,8,12.0,1,0,0,1,1,0,1,1
220837,491134.8284027701,82.0,4118.014875671202,259.165,6.066,1,0.1871,0.0,0.1353,0,17.3,491137.73145290354,82.3821159122085,4117.439886259716,2.984,0.228,-0.0168,7,12.0,1,0,0,1,1,0,0,0
220838,491135.0382049136,82.0,4118.161645951688,254.23,3.29,1,0.2098,0.0,0.1468,0,17.3,491137.95947645174,82.50355795610426,4117.423068129858,3.055,0.228,-0.0168,6,13.0,1,0,0,1,1,0,0,0
220839,491135.2204384274,82.0,4118.273109409153,248.986,1.028,1,0.1822,0.0,0.1115,0,17.3,491138.19173430116,82.6482053040695,4117.407045419905,3.162,0.2323,-0.016,5,13.0,1,0,0,1,1,0,0,0
220840,491135.4387851884,82.0,4118.3866498243915,247.239,-1.542,1,0.2183,0.0,0.1135,0,17.3,491138.4239921506,82.79285265203475,4117.391022709953,3.245,0.2323,-0.016,4,13.0,1,0,0,1,1,0,0,0
220841,491135.63064757595,82.0,4118.47304126383,245.902,-3.29,1,0.1919,0.0,0.0864,0,17.3,491138.59516143374,82.84106843468983,4117.375265139969,3.271,0.1712,-0.0158,3,13.0,1,0,0,1,1,0,0,0
220842,491135.8569075143,82.0,4118.56643868135,245.594,-4.421,1,0.2263,0.0,0.0934,0,17.3,491138.7663307169,82.88928421734491,4117.359507569985,3.273,0.1712,-0.0158,2,13.0,1,0,0,1,1,0,0,0
220843,491136.0527447887,82.0,4118.642703722079,243.435,-3.29,1,0.1958,0.0,0.0763,0,17.3,491138.8858871446,82.79077281156327,4117.354255046656,3.211,0.1196,-0.0053,1,13.0,1,0,0,1,1,0,0,0
220844,491136.2830478903,82.0,4118.725312361812,243.023,-1.851,1,0.2303,0.0,0.0826,0,17.3,491139.0054435723,82.69226140578164,4117.349002523328,3.128,0.1196,-0.0053,10,13.0,1,0,0,1,1,0,0,0
220845,491136.3670687962,82.0,4118.726015644958,244.257,1.851,1,0.084,0.0,0.0007,0,17.3,491139.0661290482,82.46150760385443,4117.3472516822185,3.066,0.0607,-0.0018,9,11.5,1,1,0,0,1,0,0,1
220846,491136.422081881,82.0,4118.699846523693,249.809,4.524,1,0.055,0.0,-0.0262,0,17.3,491139.27325269877,82.42225506923629,4117.273167788146,3.216,0.2071,-0.0741,8,11.5,1,1,0,0,0,0,0,1
220847,491136.50661721703,82.0,4118.567533005596,253.202,6.991,1,0.0845,0.0,-0.1323,0,17.3,491139.49466846586,82.48983671282419,4117.19252852543,3.326,0.2214,-0.0806,7,11.5,1,1,0,0,0,0,0,0
220848,491136.6140550777,82.0,4118.380640073481,256.183,4.524,1,0.1074,0.0,-0.1869,0,17.3,491139.7160842329,82.55741835641209,4117.111889262715,3.398,0.2214,-0.0806,6,11.5,1,1,0,0,1,0,0,0
220849,491136.7398912766,82.0,4118.167297393354,255.772,3.496,1,0.1258,0.0,-0.2133,0,17.3,491139.9253061553,82.68411223760806,4117.032926175143,3.45,0.2092,-0.079,5,11.5,1,1,0,0,1,0,0,0
220850,491136.8750887899,82.0,4117.939103061727,255.463,0.308,1,0.1352,0.0,-0.2282,0,17.3,491140.1481207702,82.76857482507204,4116.949034116762,3.505,0.2228,-0.0839,4,11.5,1,1,0,0,1,0,0,0
220851,491137.0147108913,82.0,4117.702393849611,255.978,-1.234,1,0.1396,0.0,-0.2367,0,17.3,491140.3709353851,82.85303741253603,4116.865142058381,3.563,0.2228,-0.0839,3,11.5,1,1,0,0,1,0,0,0
220852,491137.15777790715,82.0,4117.461645908475,258.445,-3.496,1,0.1431,0.0,-0.2407,0,17.3,491140.59375,82.9375,4116.78125,3.626,0.2228,-0.0839,2,11.5,1,1,0,0,1,0,0,0
220853,491137.3074520329,82.0,4117.221665364276,261.324,-2.673,1,0.1497,0.0,-0.24,0,17.3,491140.6354166667,82.82291666666667,4116.760416666667,3.459,0.0417,-0.0208,1,11.5,1,1,0,0,1,0,0,0
220854,491137.4612575072,82.0,4117.220007279246,262.969,-1.439,1,0.1538,0.0,-0.0017,0,17.3,491140.6770833334,82.70833333333334,4116.739583333334,3.328,0.0417,-0.0208,0,11.5,1,0,0,1,1,0,1,0
220855,491137.56708715105,82.0,4117.237060626327,260.296,1.542,1,0.1058,0.0,0.0171,0,17.3,491140.71180555556,82.47222222222223,4116.722222222223,3.221,0.0347,-0.0174,10,10.0,1,0,0,1,0,0,0,1
220856,491137.7310411925,82.0,4117.321389751047,259.987,1.542,1,0.164,0.0,0.0843,0,17.3,491140.8703703704,82.42939814814815,4116.700231481482,3.229,0.1586,-0.022,9,10.0,1,0,0,1,0,0,0,1
220857,491137.92707526375,82.0,4117.441962078139,259.576,1.645,1,0.196,0.0,0.1206,0,17.3,491141.02893518517,82.38657407407408,4116.678240740741,3.218,0.1586,-0.022,8,10.0,1,0,0,1,1,0,0,0
220858,491138.09837967396,82.0,4117.555171042646,258.239,0.308,1,0.1713,0.0,0.1132,0,17.3,491141.1875,82.34375,4116.65625,3.236,0.1586,-0.022,7,11.0,1,0,0,1,1,0,1,0
220859,491138.30066307803,82.0,4117.688209361299,255.772,-1.953,1,0.2023,0.0,0.133,0,17.3,491141.3541666667,82.5,4116.635416666667,3.268,0.1667,-0.0208,6,11.0,1,0,0,1,1,0,0,0
220860,491138.47864034364,82.0,4117.798283660302,250.631,-5.449,1,0.178,0.0,0.1101,0,17.3,491141.5208333334,82.65625,4116.614583333334,3.33,0.1667,-0.0208,5,11.0,1,0,0,1,1,0,1,0
220861,491138.6930774933,82.0,4117.914506604603,246.519,-7.197,1,0.2144,0.0,0.1162,0,17.3,491141.69097222225,82.76041666666667,4116.586805555556,3.366,0.1701,-0.0278,4,11.0,1,0,0,1,1,0,0,0
220862,491138.8801120121,82.0,4117.901669129856,242.304,-7.916,1,0.187,0.0,-0.0128,0,17.3,491141.8611111111,82.86458333333334,4116.559027777777,3.382,0.1701,-0.0278,3,11.0,1,0,0,0,1,0,1,0
220863,491139.0949560057,82.0,4117.835294468648,241.378,-7.505,1,0.2148,0.0,-0.0664,0,17.3,491141.9803240741,82.84722222222223,4116.549768518518,3.27,0.1192,-0.0093,2,11.0,1,0,0,0,1,0,0,0
220864,491139.2771381612,82.0,4117.752462630531,242.818,-5.449,1,0.1822,0.0,-0.0828,0,17.3,491142.0995370371,82.82986111111111,4116.540509259259,3.182,0.1192,-0.0093,1,11.0,1,0,0,0,1,0,1,0
220865,491139.41625041765,82.0,4117.583427714998,247.136,-3.598,1,0.1391,0.0,-0.169,0,17.3,491142.18094135803,82.6574074074074,4116.537422839506,3.028,0.0814,-0.0031,0,11.0,1,1,0,0,1,0,0,0
220866,491139.4722343149,82.0,4117.50236263528,250.837,-0.103,1,0.056,0.0,-0.0811,0,17.3,491142.262345679,82.4849537037037,4116.534336419752,2.993,0.0814,-0.0031,10,9.5,1,1,0,0,1,0,1,1
220867,491139.5462491177,82.0,4117.368032763762,257.108,0.925,1,0.074,0.0,-0.1343,0,17.3,491142.435313786,82.43788580246913,4116.470807613168,3.057,0.173,-0.0635,9,9.5,1,1,0,0,1,0,0,0
