update,lifetime,rounds,timeouts,winrate,wr_old,wr_new,wr_script,wr_pin,dealt,taken,hits,mean_combo,max_combo,blk,clk,jmp,whiff,aim_bias,avg_reward,ploss,vloss,staleness,wr_turtle,wr_rusher,wr_kiter,wr_boxer,ent_move,ent_click,ent_block,ent_jump,aim_std,res_yaw,res_pitch,move_top,move_top_frac,wr_trader,mean_combo_taken,max_combo_taken,first_blood,trade_frac,blk_eff,idle_frac,ties,wr_gear_up,wr_gear_dn
139,1174,27,0,0.6666666666666666,0.4444444444444444,0.5555555555555556,1.0,0.7777777777777778,466.3259864600001,400.6255863059999,167,1.5029940119760479,6,0.2998046875,0.95458984375,0.015625,0.1524390243902439,0.3518422897413049,6.868364083888722,0.002022070810198784,6.353157043457031,1.0029296875,1.0,nan,1.0,1.0,0.4974921643733978,0.1149718165397644,0.3830180764198303,0.0,0.3628561794757843,-0.3482431471347809,1.2668299674987793,0,0.74560546875,1.0,1.25,4,0.5185185185185185,0.688622754491018,0.022727272727272728,0.0048828125,3,1.0,0.75
140,1175,24,0,0.5416666666666666,0.375,0.2857142857142857,0.8888888888888888,0.6666666666666666,413.44879528999985,358.4172009900002,176,1.8125,8,0.314453125,0.947265625,0.01904296875,0.10790273556231003,0.15068398512096184,5.166349727669367,0.0035281889140605927,6.890674114227295,1.0029296875,1.0,nan,nan,0.8,0.5126653909683228,0.12198369950056076,0.3899804949760437,0.0,0.3629955053329468,-0.3142508864402771,1.203237771987915,0,0.7705078125,nan,1.275,5,0.625,0.5681818181818182,0.025,0.01171875,2,1.0,0.3333333333333333
141,1176,23,0,0.6086956521739131,0.25,0.25,1.0,0.25,426.38439496,324.5311912400001,167,1.7065868263473054,8,0.2998046875,0.97412109375,0.01806640625,0.1498422712933754,0.3332359368321289,9.678976659737659,0.0036780759692192078,7.505544185638428,1.0029296875,1.0,1.0,1.0,1.0,0.4764256775379181,0.09390930086374283,0.3865843117237091,0.0,0.363372802734375,-0.33371955156326294,1.2962603569030762,0,0.7998046875,1.0,1.1788617886178863,2,0.5652173913043478,0.6227544910179641,0.016260162601626018,0.00634765625,6,1.0,0.6
142,1177,23,0,0.6956521739130435,0.7142857142857143,0.2,0.9090909090909091,0.6363636363636364,402.29598937700007,314.6523852800001,154,1.6623376623376624,5,0.32958984375,0.9453125,0.02587890625,0.10849909584086799,0.11115369212663961,9.791917123686181,0.1334560364484787,7.697876930236816,1.00244140625,1.0,nan,1.0,1.0,0.6041003465652466,0.1501610279083252,0.4417223036289215,0.0,0.36314916610717773,-0.2594096064567566,1.1993403434753418,0,0.7236328125,0.8,1.1020408163265305,2,0.7727272727272727,0.4675324675324675,0.030612244897959183,0.0087890625,0,1.0,0.4
143,1178,23,0,0.782608695652174,0.6666666666666666,0.5,0.9230769230769231,0.8333333333333334,418.8743959695813,290.21079338000015,168,2.0773809523809526,9,0.341796875,0.955078125,0.02685546875,0.11538461538461539,0.08405615011958358,15.470741221722784,-0.07779724895954132,6.858431339263916,1.0029296875,1.0,1.0,1.0,1.0,0.5427811145782471,0.14559198915958405,0.42576444149017334,0.0,0.3631526231765747,-0.32993578910827637,1.2414658069610596,0,0.73291015625,0.75,1.1546391752577319,3,0.75,0.49404761904761907,0.010309278350515464,0.00537109375,3,1.0,0.42857142857142855
144,1179,26,0,0.6923076923076923,0.14285714285714285,0.7142857142857143,1.0,0.6666666666666666,447.69798973999985,311.94799280000007,166,1.7650602409638554,6,0.3408203125,0.9443359375,0.0234375,0.12524461839530332,0.042948552412815685,11.014439243927656,-0.11383358389139175,8.655692100524902,1.00634765625,1.0,1.0,1.0,1.0,0.5462515354156494,0.15289048850536346,0.42388397455215454,0.0,0.3633764982223511,-0.3008648157119751,1.281490683555603,0,0.70654296875,nan,1.280701754385965,3,0.68,0.5481927710843374,0.05263157894736842,0.0068359375,2,1.0,0.42857142857142855
145,1180,25,0,0.44,0.1,0.16666666666666666,1.0,0.3333333333333333,451.66819214500043,358.319990216,150,1.4733333333333334,4,0.322265625,0.9404296875,0.0205078125,0.13992537313432835,0.20600756613633361,5.912723208115684,0.004885725677013397,7.032064437866211,1.003419638495359,1.0,1.0,nan,1.0,0.5860697627067566,0.1461486518383026,0.42285025119781494,0.0,0.36328646540641785,-0.3203356862068176,1.3091520071029663,0,0.728515625,1.0,1.275,4,0.6538461538461539,0.6266666666666667,0.025,0.0068359375,9,0.5714285714285714,0.5
146,1181,23,0,0.782608695652174,0.4,0.6666666666666666,1.0,0.6666666666666666,424.8393941797443,291.6715936199999,153,1.7908496732026145,7,0.38623046875,0.93505859375,0.02783203125,0.13582677165354332,-0.19396903382675798,13.43595128123908,0.04241567477583885,6.500128269195557,1.00341796875,1.0,1.0,nan,1.0,0.7473498582839966,0.19188009202480316,0.4803328812122345,0.0,0.36340877413749695,-0.20077690482139587,1.1091904640197754,0,0.60205078125,1.0,1.1363636363636365,3,0.6956521739130435,0.49019607843137253,0.03409090909090909,0.01123046875,1,0.8,0.8
147,1182,24,0,0.5833333333333334,0.3,0.5714285714285714,1.0,0.5555555555555556,426.1287908999998,352.1599872550001,155,1.8129032258064517,7,0.322265625,0.9384765625,0.02294921875,0.14478764478764478,0.19597269964738467,5.822845375354888,0.04891815781593323,5.781203269958496,1.0029296875,1.0,1.0,1.0,1.0,0.5972235202789307,0.15265026688575745,0.4103561043739319,0.0,0.3633877635002136,-0.3569236993789673,1.275153398513794,0,0.7294921875,1.0,1.3043478260869565,3,0.625,0.5483870967741935,0.02608695652173913,0.01220703125,1,nan,0.5
148,1183,22,0,0.6818181818181818,0.8571428571428571,0.2,0.8,0.5,398.98279011,328.47919625499986,150,1.62,5,0.287109375,0.951171875,0.01953125,0.13163064833005894,0.16566585678174445,8.26237040957721,0.027618583291769028,7.543370246887207,1.00341796875,0.6,nan,nan,nan,0.6647937297821045,0.14525502920150757,0.3939523696899414,0.0,0.36361491680145264,-0.33624252676963806,1.3746278285980225,0,0.73974609375,1.0,1.2543859649122806,4,0.5909090909090909,0.5933333333333334,0.008771929824561403,0.00634765625,1,1.0,0.4
149,1184,21,0,0.7619047619047619,0.5,0.75,0.8461538461538461,0.6666666666666666,379.29799609,255.04759955999995,143,1.8881118881118881,8,0.37939453125,0.91943359375,0.0234375,0.11246943765281174,0.026951270402385468,14.33372801276616,0.033015038818120956,4.756143093109131,1.0029296875,1.0,1.0,nan,1.0,0.8626295924186707,0.1891496479511261,0.485319584608078,0.0,0.3636244833469391,-0.19714203476905823,1.075847864151001,0,0.5791015625,0.6666666666666666,1.1808510638297873,3,0.7142857142857143,0.4965034965034965,0.02127659574468085,0.009765625,3,1.0,0.4
150,1185,21,0,0.5714285714285714,0.0,0.2,0.9166666666666666,0.8,394.36119121,301.37039315000015,143,1.7062937062937062,9,0.34814453125,0.9404296875,0.02197265625,0.12716763005780346,-0.12228405599111952,8.701250107783705,0.1131485179066658,4.38050651550293,1.0029296875,1.0,1.0,1.0,1.0,0.7472068071365356,0.16036826372146606,0.4565223157405853,0.0,0.36372196674346924,-0.2682366371154785,1.1966139078140259,0,0.61083984375,0.75,1.2115384615384615,4,0.5714285714285714,0.5454545454545454,0.028846153846153848,0.01171875,5,1.0,0.0
151,1186,20,0,0.6,0.5,0.4,0.7272727272727273,0.2857142857142857,360.3387938400001,274.6979944500001,140,1.957142857142857,7,0.34912109375,0.93896484375,0.01953125,0.1258426966292135,-0.04198684067545538,9.790647995439583,0.026492035016417503,4.6982011795043945,1.0029296875,0.8333333333333334,1.0,0.5,0.5,0.776347279548645,0.1846790909767151,0.4468871057033539,0.0,0.3637908697128296,-0.22634366154670715,1.136112093925476,0,0.5615234375,nan,1.2210526315789474,3,0.75,0.5,0.042105263157894736,0.01220703125,3,1.0,0.5
152,1187,23,0,0.5217391304347826,0.5,0.2,1.0,0.7142857142857143,406.81159778999984,361.30359532,160,1.51875,5,0.2783203125,0.94189453125,0.013671875,0.1687170474516696,-0.1153071722231358,3.5553622938073883,-0.09489896893501282,9.563667297363281,1.00634765625,1.0,nan,nan,1.0,0.6421090364456177,0.14315685629844666,0.38992083072662354,0.0,0.3638666272163391,-0.501021146774292,1.4010456800460815,0,0.7197265625,1.0,1.3008130081300813,4,0.6086956521739131,0.71875,0.016260162601626018,0.00634765625,3,0.5,1.0
153,1188,23,0,0.6086956521739131,0.42857142857142855,0.42857142857142855,0.8888888888888888,0.8,402.7687880700005,328.91819380000004,153,1.5555555555555556,6,0.2880859375,0.92822265625,0.01904296875,0.1475,0.2768634602765809,7.317333732257015,0.10927702486515045,4.788050651550293,1.00634765625,1.0,1.0,nan,1.0,0.7631872892379761,0.1564226746559143,0.3911624550819397,0.0,0.3636976480484009,-0.37469685077667236,1.1975085735321045,0,0.64306640625,0.75,1.2342342342342343,3,0.782608695652174,0.5686274509803921,0.0,0.01611328125,2,0.3333333333333333,0.2
154,1189,20,0,0.65,0.5,0.375,1.0,0.42857142857142855,374.96839621499964,302.20479461,148,1.662162162162162,6,0.28857421875,0.94921875,0.01806640625,0.1309255079006772,0.0242468115836157,8.051169645349043,0.01290861889719963,5.664924621582031,1.0029296875,1.0,1.0,1.0,1.0,0.6998914480209351,0.12601248919963837,0.4093775451183319,0.0,0.3638090491294861,-0.31901252269744873,1.2240979671478271,0,0.6240234375,1.0,1.2314814814814814,3,0.65,0.6148648648648649,0.018518518518518517,0.0087890625,2,0.75,0.75
155,1190,23,0,0.7391304347826086,0.5555555555555556,0.8333333333333334,0.875,0.6666666666666666,387.76959437000016,317.31639566000007,146,1.6575342465753424,7,0.26708984375,0.94873046875,0.02001953125,0.13740458015267176,0.137278115780873,9.046939656366298,0.0001740977168083191,5.708257675170898,1.0029296875,1.0,1.0,1.0,1.0,0.664630651473999,0.15841542184352875,0.3777897357940674,0.0,0.3636639416217804,-0.3743758201599121,1.268705129623413,0,0.65087890625,0.5,1.2476190476190476,3,0.6521739130434783,0.5958904109589042,0.02857142857142857,0.00634765625,1,0.75,0.4
