player_yaw,player_pitch,target_dist,ideal_yaw,ideal_pitch,yaw_error,pitch_error,on_ground,out_w,out_a,out_s,out_d,out_sprint,out_left_click,out_right_click
155.85,17.22,2.789,156.48,26.12,0.63,8.9,0,1,0,0,1,0,0,0
154.21,21.03,2.669,155.23,27.01,1.02,5.98,0,1,0,0,0,0,1,0
153.79,21.54,2.814,156.11,24.15,2.31,2.61,0,1,0,0,0,0,0,0
152.46,22.57,2.967,157.18,19.65,4.72,-2.92,0,1,0,0,0,0,1,0
153.07,20.72,3.128,158.3,14.29,5.22,-6.43,0,1,0,0,0,0,0,0
154.82,18.35,3.306,159.19,8.69,4.37,-9.67,0,1,0,0,0,0,1,0
156.06,14.65,3.508,160.0,3.24,3.94,-11.42,0,0,0,0,0,0,0,0
156.57,11.05,3.73,160.74,-2.86,4.17,-13.92,0,1,0,0,0,0,1,0
156.78,7.25,3.846,161.17,-7.38,4.39,-14.63,1,1,0,0,0,0,0,0
157.91,4.78,3.74,161.69,-6.78,3.79,-11.56,1,1,0,0,0,0,1,0
160.68,2.83,3.563,162.23,-5.34,1.54,-8.17,1,1,0,0,0,0,0,0
161.92,2.62,3.337,162.69,-2.43,0.77,-5.05,1,1,0,0,0,0,1,0
162.02,3.34,3.144,163.02,2.0,1.0,-1.34,1,1,0,0,0,0,1,0
161.4,5.91,2.917,163.49,8.42,2.09,2.51,1,1,0,0,0,0,0,0
161.51,10.95,2.751,163.88,15.58,2.38,4.63,1,1,0,0,0,0,1,0
160.48,15.78,2.566,164.28,21.39,3.81,5.61,1,1,0,0,0,0,0,0
159.86,22.78,2.319,164.86,27.04,5.0,4.26,1,1,0,0,0,0,1,0
160.58,24.63,2.226,165.06,27.42,4.48,2.8,1,1,0,0,0,0,0,0
160.37,27.61,2.286,165.1,22.29,4.73,-5.32,1,1,0,0,0,0,0,0
160.58,27.81,2.322,165.22,15.75,4.64,-12.07,0,1,0,0,0,0,0,0
161.51,28.84,2.401,165.09,9.29,3.58,-19.55,0,1,0,0,0,0,0,0
165.41,24.42,2.51,165.06,1.92,-0.35,-22.5,0,1,0,0,0,0,0,0
167.88,20.62,2.699,164.94,-6.59,-2.94,-27.2,0,1,0,0,0,0,0,0
167.37,12.7,2.781,165.0,-11.4,-2.36,-24.1,1,1,0,0,0,0,0,0
166.95,6.53,2.796,164.88,-10.1,-2.07,-16.63,1,0,0,0,0,0,0,0
