tick,player_x,player_y,player_z,player_yaw,player_pitch,on_ground,my_vx,my_vz,my_hurt,target_x,target_y,target_z,target_dist,tgt_vx,tgt_vz,tgt_hurt,out_w,out_a,out_s,out_d,out_sprint,out_left_click,out_right_click
172,490128.2596853315,73.0,5148.523345462374,179.177,5.86,1,-0.1449,-0.2225,0,490127.5408057591,73.0,5113.228365394835,35.302,0.0108,0.2921,0,1,1,0,0,0,0,0
173,490128.0872292469,73.0,5148.311340319653,179.177,5.86,1,-0.1725,-0.212,0,490127.55165287957,73.0,5113.520432697418,34.795,0.0108,0.2921,0,1,1,0,0,0,0,0
174,490127.9911139987,73.0,5148.068200507828,179.177,5.86,1,-0.0961,-0.2431,0,490127.5552685864,73.0,5113.805288464945,34.266,0.0036,0.2849,0,1,0,0,0,0,0,0
175,490127.93668085197,73.0,5147.808061164698,182.056,4.01,1,-0.0544,-0.2601,0,490127.5588842932,73.0,5114.090144232472,33.72,0.0036,0.2849,0,1,0,0,0,0,0,0
176,490128.00206955237,73.0,5147.577400954544,180.411,2.776,1,0.0654,-0.2307,0,490127.5705061955,73.0,5114.372596154982,33.208,0.0116,0.2825,0,1,0,0,1,0,0,0
177,490128.1302579524,73.0,5147.360102362313,175.785,1.542,1,0.1282,-0.2173,0,490127.58212809777,73.0,5114.655048077491,32.71,0.0116,0.2825,0,1,0,0,1,0,0,0
178,490128.28516127606,73.0,5147.143020186723,175.271,1.337,1,0.1549,-0.2171,0,490127.58600206516,73.0,5114.9366987183275,32.214,0.0039,0.2817,0,1,0,0,1,0,0,0
179,490128.4537413605,73.0,5146.925278833207,175.271,1.337,1,0.1686,-0.2177,0,490127.58987603255,73.0,5115.218349359164,31.719,0.0039,0.2817,0,1,0,0,1,0,0,0
180,490128.5352449898,73.0,5146.679428901798,175.271,1.337,1,0.0815,-0.2458,0,490127.5182506884,73.0,5115.468482906109,31.228,-0.0716,0.2501,0,1,0,0,0,0,0,0
181,490128.48053150467,73.0,5146.461191963766,175.476,1.131,1,-0.0547,-0.2182,0,490127.4466253442,73.0,5115.718616453054,30.76,-0.0716,0.2501,0,1,1,0,0,0,0,0
182,490128.3517016514,73.0,5146.257727730731,182.262,1.953,1,-0.1288,-0.2035,0,490127.3810835628,73.0,5115.968660968702,30.305,-0.0655,0.25,0,1,1,0,0,0,0,0
183,490128.1930286354,73.0,5146.051255597619,180.514,2.467,1,-0.1587,-0.2065,0,490127.31554178137,73.0,5116.218705484351,29.845,-0.0655,0.25,0,1,1,0,0,0,0,0
184,490128.01517704147,73.0,5145.84589560072,180.514,2.467,1,-0.1779,-0.2054,0,490127.28327785427,73.0,5116.479136989567,29.376,-0.0323,0.2604,0,1,1,0,0,0,0,0
185,490127.9190471961,73.0,5145.6063727885585,180.514,2.467,1,-0.0961,-0.2395,0,490127.25101392716,73.0,5116.739568494784,28.875,-0.0323,0.2604,0,1,0,0,0,0,0,0
186,490127.8675374306,73.0,5145.348197077097,180.514,2.467,1,-0.0515,-0.2582,0,490127.2402592848,73.0,5117.024295663189,28.331,-0.0108,0.2847,0,1,0,0,0,0,0,0
